date	numberOfDocuments
2019-01-01T00:00:00.000+0000	31296
2019-01-01T01:00:00.000+0000	13332
2019-01-01T02:00:00.000+0000	8856
2019-01-01T03:00:00.000+0000	5981
2019-01-01T04:00:00.000+0000	4707
2019-01-01T05:00:00.000+0000	4572
2019-01-01T06:00:00.000+0000	6212
2019-01-01T07:00:00.000+0000	7949
2019-01-01T08:00:00.000+0000	17712
2019-01-01T09:00:00.000+0000	22748
2019-01-01T10:00:00.000+0000	26549
2019-01-01T11:00:00.000+0000	26974
2019-01-01T12:00:00.000+0000	29289
2019-01-01T13:00:00.000+0000	24909
2019-01-01T14:00:00.000+0000	26125
2019-01-01T15:00:00.000+0000	26916
2019-01-01T16:00:00.000+0000	27032
2019-01-01T17:00:00.000+0000	27148
2019-01-01T18:00:00.000+0000	25179
2019-01-01T19:00:00.000+0000	23231
2019-01-01T20:00:00.000+0000	25835
2019-01-01T21:00:00.000+0000	21726
2019-01-01T22:00:00.000+0000	19256
2019-01-01T23:00:00.000+0000	14239
2019-01-02T00:00:00.000+0000	10824
2019-01-02T01:00:00.000+0000	6849
2019-01-02T02:00:00.000+0000	6135
2019-01-02T03:00:00.000+0000	4534
2019-01-02T04:00:00.000+0000	4746
2019-01-02T05:00:00.000+0000	5267
2019-01-02T06:00:00.000+0000	6714
2019-01-02T07:00:00.000+0000	12657
2019-01-02T08:00:00.000+0000	24350
2019-01-02T09:00:00.000+0000	29868
2019-01-02T10:00:00.000+0000	31971
2019-01-02T11:00:00.000+0000	31624
2019-01-02T12:00:00.000+0000	33303
2019-01-02T13:00:00.000+0000	30601
2019-01-02T14:00:00.000+0000	31026
2019-01-02T15:00:00.000+0000	31161
2019-01-02T16:00:00.000+0000	29154
2019-01-02T17:00:00.000+0000	29849
2019-01-02T18:00:00.000+0000	29135
2019-01-02T19:00:00.000+0000	29675
2019-01-02T20:00:00.000+0000	28054
2019-01-02T21:00:00.000+0000	24794
2019-01-02T22:00:00.000+0000	22343
2019-01-02T23:00:00.000+0000	17654
2019-01-03T00:00:00.000+0000	11962
2019-01-03T01:00:00.000+0000	8142
2019-01-03T02:00:00.000+0000	5672
2019-01-03T03:00:00.000+0000	5402
2019-01-03T04:00:00.000+0000	4399
2019-01-03T05:00:00.000+0000	4707
2019-01-03T06:00:00.000+0000	7833
2019-01-03T07:00:00.000+0000	14915
2019-01-03T08:00:00.000+0000	26665
2019-01-03T09:00:00.000+0000	30331
2019-01-03T10:00:00.000+0000	32878
2019-01-03T11:00:00.000+0000	35309
2019-01-03T12:00:00.000+0000	34634
2019-01-03T13:00:00.000+0000	33650
2019-01-03T14:00:00.000+0000	34499
2019-01-03T15:00:00.000+0000	33496
2019-01-03T16:00:00.000+0000	33920
2019-01-03T17:00:00.000+0000	32434
2019-01-03T18:00:00.000+0000	29965
2019-01-03T19:00:00.000+0000	28923
2019-01-03T20:00:00.000+0000	29772
2019-01-03T21:00:00.000+0000	25623
2019-01-03T22:00:00.000+0000	23713
2019-01-03T23:00:00.000+0000	18349
2019-01-04T00:00:00.000+0000	12966
2019-01-04T01:00:00.000+0000	7833
2019-01-04T02:00:00.000+0000	6039
2019-01-04T03:00:00.000+0000	4939
2019-01-04T04:00:00.000+0000	4283
2019-01-04T05:00:00.000+0000	4785
2019-01-04T06:00:00.000+0000	8682
2019-01-04T07:00:00.000+0000	14876
2019-01-04T08:00:00.000+0000	28402
2019-01-04T09:00:00.000+0000	33245
2019-01-04T10:00:00.000+0000	33727
2019-01-04T11:00:00.000+0000	36930
2019-01-04T12:00:00.000+0000	37316
2019-01-04T13:00:00.000+0000	34171
2019-01-04T14:00:00.000+0000	31373
2019-01-04T15:00:00.000+0000	34576
2019-01-04T16:00:00.000+0000	34248
2019-01-04T17:00:00.000+0000	33785
2019-01-04T18:00:00.000+0000	30408
2019-01-04T19:00:00.000+0000	29154
2019-01-04T20:00:00.000+0000	27668
2019-01-04T21:00:00.000+0000	22266
2019-01-04T22:00:00.000+0000	20877
2019-01-04T23:00:00.000+0000	16940
2019-01-05T00:00:00.000+0000	12117
2019-01-05T01:00:00.000+0000	9049
2019-01-05T02:00:00.000+0000	6830
2019-01-05T03:00:00.000+0000	5286
2019-01-05T04:00:00.000+0000	4418
2019-01-05T05:00:00.000+0000	4785
2019-01-05T06:00:00.000+0000	6116
2019-01-05T07:00:00.000+0000	10129
2019-01-05T08:00:00.000+0000	20684
2019-01-05T09:00:00.000+0000	24215
2019-01-05T10:00:00.000+0000	26897
2019-01-05T11:00:00.000+0000	27321
2019-01-05T12:00:00.000+0000	27456
2019-01-05T13:00:00.000+0000	26742
2019-01-05T14:00:00.000+0000	27900
2019-01-05T15:00:00.000+0000	27726
2019-01-05T16:00:00.000+0000	27881
2019-01-05T17:00:00.000+0000	27533
2019-01-05T18:00:00.000+0000	26800
2019-01-05T19:00:00.000+0000	25527
2019-01-05T20:00:00.000+0000	25102
2019-01-05T21:00:00.000+0000	23752
2019-01-05T22:00:00.000+0000	19545
2019-01-05T23:00:00.000+0000	17616
2019-01-06T00:00:00.000+0000	12580
2019-01-06T01:00:00.000+0000	8759
2019-01-06T02:00:00.000+0000	6155
2019-01-06T03:00:00.000+0000	5460
2019-01-06T04:00:00.000+0000	4148
2019-01-06T05:00:00.000+0000	4341
2019-01-06T06:00:00.000+0000	5113
2019-01-06T07:00:00.000+0000	8817
2019-01-06T08:00:00.000+0000	17982
2019-01-06T09:00:00.000+0000	22150
2019-01-06T10:00:00.000+0000	25257
2019-01-06T11:00:00.000+0000	26356
2019-01-06T12:00:00.000+0000	27977
2019-01-06T13:00:00.000+0000	27012
2019-01-06T14:00:00.000+0000	26106
2019-01-06T15:00:00.000+0000	25643
2019-01-06T16:00:00.000+0000	27398
2019-01-06T17:00:00.000+0000	27553
2019-01-06T18:00:00.000+0000	26800
2019-01-06T19:00:00.000+0000	27939
2019-01-06T20:00:00.000+0000	28537
2019-01-06T21:00:00.000+0000	25218
2019-01-06T22:00:00.000+0000	20028
2019-01-06T23:00:00.000+0000	15571
2019-01-07T00:00:00.000+0000	11904
2019-01-07T01:00:00.000+0000	8547
2019-01-07T02:00:00.000+0000	6444
2019-01-07T03:00:00.000+0000	5228
2019-01-07T04:00:00.000+0000	4611
2019-01-07T05:00:00.000+0000	4823
2019-01-07T06:00:00.000+0000	9917
2019-01-07T07:00:00.000+0000	17539
2019-01-07T08:00:00.000+0000	28440
2019-01-07T09:00:00.000+0000	34036
2019-01-07T10:00:00.000+0000	36660
2019-01-07T11:00:00.000+0000	35618
2019-01-07T12:00:00.000+0000	37490
2019-01-07T13:00:00.000+0000	35058
2019-01-07T14:00:00.000+0000	35078
2019-01-07T15:00:00.000+0000	35522
2019-01-07T16:00:00.000+0000	34943
2019-01-07T17:00:00.000+0000	33824
2019-01-07T18:00:00.000+0000	31566
2019-01-07T19:00:00.000+0000	31489
2019-01-07T20:00:00.000+0000	32975
2019-01-07T21:00:00.000+0000	28517
2019-01-07T22:00:00.000+0000	24234
2019-01-07T23:00:00.000+0000	17693
2019-01-08T00:00:00.000+0000	12040
2019-01-08T01:00:00.000+0000	7698
2019-01-08T02:00:00.000+0000	5846
2019-01-08T03:00:00.000+0000	5286
2019-01-08T04:00:00.000+0000	4727
2019-01-08T05:00:00.000+0000	5962
2019-01-08T06:00:00.000+0000	9454
2019-01-08T07:00:00.000+0000	17616
2019-01-08T08:00:00.000+0000	31103
2019-01-08T09:00:00.000+0000	34962
2019-01-08T10:00:00.000+0000	36390
2019-01-08T11:00:00.000+0000	36139
2019-01-08T12:00:00.000+0000	38049
2019-01-08T13:00:00.000+0000	34653
2019-01-08T14:00:00.000+0000	35136
2019-01-08T15:00:00.000+0000	33303
2019-01-08T16:00:00.000+0000	34422
2019-01-08T17:00:00.000+0000	35097
2019-01-08T18:00:00.000+0000	33862
2019-01-08T19:00:00.000+0000	33669
2019-01-08T20:00:00.000+0000	33631
2019-01-08T21:00:00.000+0000	28325
2019-01-08T22:00:00.000+0000	23115
2019-01-08T23:00:00.000+0000	17597
2019-01-09T00:00:00.000+0000	11576
2019-01-09T01:00:00.000+0000	8123
2019-01-09T02:00:00.000+0000	5692
2019-01-09T03:00:00.000+0000	4881
2019-01-09T04:00:00.000+0000	4322
2019-01-09T05:00:00.000+0000	5228
2019-01-09T06:00:00.000+0000	8759
2019-01-09T07:00:00.000+0000	17481
2019-01-09T08:00:00.000+0000	31508
2019-01-09T09:00:00.000+0000	35136
2019-01-09T10:00:00.000+0000	38146
2019-01-09T11:00:00.000+0000	36699
2019-01-09T12:00:00.000+0000	38763
2019-01-09T13:00:00.000+0000	36042
2019-01-09T14:00:00.000+0000	34190
2019-01-09T15:00:00.000+0000	34422
2019-01-09T16:00:00.000+0000	35483
2019-01-09T17:00:00.000+0000	35213
2019-01-09T18:00:00.000+0000	31855
2019-01-09T19:00:00.000+0000	29405
2019-01-09T20:00:00.000+0000	30138
2019-01-09T21:00:00.000+0000	28151
2019-01-09T22:00:00.000+0000	23462
2019-01-09T23:00:00.000+0000	17982
2019-01-10T00:00:00.000+0000	11982
2019-01-10T01:00:00.000+0000	7698
2019-01-10T02:00:00.000+0000	6155
2019-01-10T03:00:00.000+0000	4804
2019-01-10T04:00:00.000+0000	4051
2019-01-10T05:00:00.000+0000	5421
2019-01-10T06:00:00.000+0000	9821
2019-01-10T07:00:00.000+0000	17789
2019-01-10T08:00:00.000+0000	31508
2019-01-10T09:00:00.000+0000	35541
2019-01-10T10:00:00.000+0000	36544
2019-01-10T11:00:00.000+0000	37104
2019-01-10T12:00:00.000+0000	40172
2019-01-10T13:00:00.000+0000	36139
2019-01-10T14:00:00.000+0000	35946
2019-01-10T15:00:00.000+0000	34923
2019-01-10T16:00:00.000+0000	36235
2019-01-10T17:00:00.000+0000	34923
2019-01-10T18:00:00.000+0000	32762
2019-01-10T19:00:00.000+0000	30756
2019-01-10T20:00:00.000+0000	31392
2019-01-10T21:00:00.000+0000	28633
2019-01-10T22:00:00.000+0000	23211
2019-01-10T23:00:00.000+0000	18214
2019-01-11T00:00:00.000+0000	13062
2019-01-11T01:00:00.000+0000	8238
2019-01-11T02:00:00.000+0000	5846
2019-01-11T03:00:00.000+0000	4515
2019-01-11T04:00:00.000+0000	4650
2019-01-11T05:00:00.000+0000	5460
2019-01-11T06:00:00.000+0000	8644
2019-01-11T07:00:00.000+0000	19526
2019-01-11T08:00:00.000+0000	31470
2019-01-11T09:00:00.000+0000	38146
2019-01-11T10:00:00.000+0000	39593
2019-01-11T11:00:00.000+0000	38840
2019-01-11T12:00:00.000+0000	39188
2019-01-11T13:00:00.000+0000	37740
2019-01-11T14:00:00.000+0000	37586
2019-01-11T15:00:00.000+0000	35772
2019-01-11T16:00:00.000+0000	36641
2019-01-11T17:00:00.000+0000	34730
2019-01-11T18:00:00.000+0000	33245
2019-01-11T19:00:00.000+0000	31470
2019-01-11T20:00:00.000+0000	31547
2019-01-11T21:00:00.000+0000	25353
2019-01-11T22:00:00.000+0000	21513
2019-01-11T23:00:00.000+0000	17577
2019-01-12T00:00:00.000+0000	12290
2019-01-12T01:00:00.000+0000	8065
2019-01-12T02:00:00.000+0000	5730
2019-01-12T03:00:00.000+0000	4669
2019-01-12T04:00:00.000+0000	3974
