date	numberOfDocuments
2019-01-01T00:00:00.000+0000	1093
2019-01-01T01:00:00.000+0000	608
2019-01-01T02:00:00.000+0000	373
2019-01-01T03:00:00.000+0000	267
2019-01-01T04:00:00.000+0000	196
2019-01-01T05:00:00.000+0000	154
2019-01-01T06:00:00.000+0000	165
2019-01-01T07:00:00.000+0000	256
2019-01-01T08:00:00.000+0000	463
2019-01-01T09:00:00.000+0000	696
2019-01-01T10:00:00.000+0000	907
2019-01-01T11:00:00.000+0000	1018
2019-01-01T12:00:00.000+0000	1167
2019-01-01T13:00:00.000+0000	1035
2019-01-01T14:00:00.000+0000	1083
2019-01-01T15:00:00.000+0000	1195
2019-01-01T16:00:00.000+0000	1244
2019-01-01T17:00:00.000+0000	1321
2019-01-01T18:00:00.000+0000	1217
2019-01-01T19:00:00.000+0000	1424
2019-01-01T20:00:00.000+0000	1606
2019-01-01T21:00:00.000+0000	1523
2019-01-01T22:00:00.000+0000	1547
2019-01-01T23:00:00.000+0000	1004
2019-01-02T00:00:00.000+0000	707
2019-01-02T01:00:00.000+0000	393
2019-01-02T02:00:00.000+0000	283
2019-01-02T03:00:00.000+0000	204
2019-01-02T04:00:00.000+0000	161
2019-01-02T05:00:00.000+0000	159
2019-01-02T06:00:00.000+0000	276
2019-01-02T07:00:00.000+0000	575
2019-01-02T08:00:00.000+0000	866
2019-01-02T09:00:00.000+0000	1080
2019-01-02T10:00:00.000+0000	1129
2019-01-02T11:00:00.000+0000	1219
2019-01-02T12:00:00.000+0000	1316
2019-01-02T13:00:00.000+0000	1318
2019-01-02T14:00:00.000+0000	1187
2019-01-02T15:00:00.000+0000	1222
2019-01-02T16:00:00.000+0000	1311
2019-01-02T17:00:00.000+0000	1387
2019-01-02T18:00:00.000+0000	1395
2019-01-02T19:00:00.000+0000	1544
2019-01-02T20:00:00.000+0000	1636
2019-01-02T21:00:00.000+0000	1622
2019-01-02T22:00:00.000+0000	1708
2019-01-02T23:00:00.000+0000	1131
2019-01-03T00:00:00.000+0000	740
2019-01-03T01:00:00.000+0000	469
2019-01-03T02:00:00.000+0000	308
2019-01-03T03:00:00.000+0000	236
2019-01-03T04:00:00.000+0000	168
2019-01-03T05:00:00.000+0000	191
2019-01-03T06:00:00.000+0000	305
2019-01-03T07:00:00.000+0000	605
2019-01-03T08:00:00.000+0000	885
2019-01-03T09:00:00.000+0000	1225
2019-01-03T10:00:00.000+0000	1323
2019-01-03T11:00:00.000+0000	1379
2019-01-03T12:00:00.000+0000	1351
2019-01-03T13:00:00.000+0000	1468
2019-01-03T14:00:00.000+0000	1305
2019-01-03T15:00:00.000+0000	1329
2019-01-03T16:00:00.000+0000	1536
2019-01-03T17:00:00.000+0000	1606
2019-01-03T18:00:00.000+0000	1642
2019-01-03T19:00:00.000+0000	1770
2019-01-03T20:00:00.000+0000	1884
2019-01-03T21:00:00.000+0000	1854
2019-01-03T22:00:00.000+0000	1957
2019-01-03T23:00:00.000+0000	1236
2019-01-04T00:00:00.000+0000	821
2019-01-04T01:00:00.000+0000	513
2019-01-04T02:00:00.000+0000	292
2019-01-04T03:00:00.000+0000	204
2019-01-04T04:00:00.000+0000	177
2019-01-04T05:00:00.000+0000	217
2019-01-04T06:00:00.000+0000	345
2019-01-04T07:00:00.000+0000	650
2019-01-04T08:00:00.000+0000	1161
2019-01-04T09:00:00.000+0000	1388
2019-01-04T10:00:00.000+0000	1519
2019-01-04T11:00:00.000+0000	1450
2019-01-04T12:00:00.000+0000	1529
2019-01-04T13:00:00.000+0000	1466
2019-01-04T14:00:00.000+0000	1389
2019-01-04T15:00:00.000+0000	1408
2019-01-04T16:00:00.000+0000	1434
2019-01-04T17:00:00.000+0000	1534
2019-01-04T18:00:00.000+0000	1457
2019-01-04T19:00:00.000+0000	1596
2019-01-04T20:00:00.000+0000	1619
2019-01-04T21:00:00.000+0000	1489
2019-01-04T22:00:00.000+0000	1564
2019-01-04T23:00:00.000+0000	1247
2019-01-05T00:00:00.000+0000	794
2019-01-05T01:00:00.000+0000	460
2019-01-05T02:00:00.000+0000	329
2019-01-05T03:00:00.000+0000	221
2019-01-05T04:00:00.000+0000	171
2019-01-05T05:00:00.000+0000	176
2019-01-05T06:00:00.000+0000	252
2019-01-05T07:00:00.000+0000	425
2019-01-05T08:00:00.000+0000	772
2019-01-05T09:00:00.000+0000	1023
2019-01-05T10:00:00.000+0000	1312
2019-01-05T11:00:00.000+0000	1429
2019-01-05T12:00:00.000+0000	1315
2019-01-05T13:00:00.000+0000	1352
2019-01-05T14:00:00.000+0000	1193
2019-01-05T15:00:00.000+0000	1302
2019-01-05T16:00:00.000+0000	1308
2019-01-05T17:00:00.000+0000	1433
2019-01-05T18:00:00.000+0000	1434
2019-01-05T19:00:00.000+0000	1400
2019-01-05T20:00:00.000+0000	1460
2019-01-05T21:00:00.000+0000	1528
2019-01-05T22:00:00.000+0000	1417
2019-01-05T23:00:00.000+0000	1241
2019-01-06T00:00:00.000+0000	916
2019-01-06T01:00:00.000+0000	583
2019-01-06T02:00:00.000+0000	355
2019-01-06T03:00:00.000+0000	277
2019-01-06T04:00:00.000+0000	237
2019-01-06T05:00:00.000+0000	327
2019-01-06T06:00:00.000+0000	213
2019-01-06T07:00:00.000+0000	324
2019-01-06T08:00:00.000+0000	777
2019-01-06T09:00:00.000+0000	958
2019-01-06T10:00:00.000+0000	1291
2019-01-06T11:00:00.000+0000	1252
2019-01-06T12:00:00.000+0000	1245
2019-01-06T13:00:00.000+0000	1193
2019-01-06T14:00:00.000+0000	1251
2019-01-06T15:00:00.000+0000	1239
2019-01-06T16:00:00.000+0000	1345
2019-01-06T17:00:00.000+0000	1450
2019-01-06T18:00:00.000+0000	1542
2019-01-06T19:00:00.000+0000	1719
2019-01-06T20:00:00.000+0000	1685
2019-01-06T21:00:00.000+0000	1684
2019-01-06T22:00:00.000+0000	1562
2019-01-06T23:00:00.000+0000	1153
2019-01-07T00:00:00.000+0000	759
2019-01-07T01:00:00.000+0000	499
2019-01-07T02:00:00.000+0000	355
2019-01-07T03:00:00.000+0000	223
2019-01-07T04:00:00.000+0000	168
2019-01-07T05:00:00.000+0000	178
2019-01-07T06:00:00.000+0000	343
2019-01-07T07:00:00.000+0000	715
2019-01-07T08:00:00.000+0000	1240
2019-01-07T09:00:00.000+0000	1311
2019-01-07T10:00:00.000+0000	1416
