date	numberOfDocuments
2019-01-01T00:00:00.000+0000	79036
2019-01-01T01:00:00.000+0000	26792
2019-01-01T02:00:00.000+0000	16495
2019-01-01T03:00:00.000+0000	10271
2019-01-01T04:00:00.000+0000	7514
2019-01-01T05:00:00.000+0000	6830
2019-01-01T06:00:00.000+0000	8475
2019-01-01T07:00:00.000+0000	12219
2019-01-01T08:00:00.000+0000	25097
2019-01-01T09:00:00.000+0000	34281
2019-01-01T10:00:00.000+0000	41567
2019-01-01T11:00:00.000+0000	41997
2019-01-01T12:00:00.000+0000	42807
2019-01-01T13:00:00.000+0000	38708
2019-01-01T14:00:00.000+0000	39189
2019-01-01T15:00:00.000+0000	38582
2019-01-01T16:00:00.000+0000	39164
2019-01-01T17:00:00.000+0000	40049
2019-01-01T18:00:00.000+0000	37924
2019-01-01T19:00:00.000+0000	36153
2019-01-01T20:00:00.000+0000	39138
2019-01-01T21:00:00.000+0000	33901
2019-01-01T22:00:00.000+0000	30663
2019-01-01T23:00:00.000+0000	21681
2019-01-02T00:00:00.000+0000	15205
2019-01-02T01:00:00.000+0000	9234
2019-01-02T02:00:00.000+0000	7716
2019-01-02T03:00:00.000+0000	5338
2019-01-02T04:00:00.000+0000	5515
2019-01-02T05:00:00.000+0000	6400
2019-01-02T06:00:00.000+0000	8374
2019-01-02T07:00:00.000+0000	16470
2019-01-02T08:00:00.000+0000	30891
2019-01-02T09:00:00.000+0000	38303
2019-01-02T10:00:00.000+0000	40783
2019-01-02T11:00:00.000+0000	39366
2019-01-02T12:00:00.000+0000	42250
2019-01-02T13:00:00.000+0000	39695
2019-01-02T14:00:00.000+0000	39644
2019-01-02T15:00:00.000+0000	39998
2019-01-02T16:00:00.000+0000	37873
2019-01-02T17:00:00.000+0000	40606
2019-01-02T18:00:00.000+0000	39948
2019-01-02T19:00:00.000+0000	39923
2019-01-02T20:00:00.000+0000	42377
2019-01-02T21:00:00.000+0000	36381
2019-01-02T22:00:00.000+0000	35773
2019-01-02T23:00:00.000+0000	26261
2019-01-03T00:00:00.000+0000	16267
2019-01-03T01:00:00.000+0000	10322
2019-01-03T02:00:00.000+0000	7336
2019-01-03T03:00:00.000+0000	6628
2019-01-03T04:00:00.000+0000	5237
2019-01-03T05:00:00.000+0000	5996
2019-01-03T06:00:00.000+0000	9740
2019-01-03T07:00:00.000+0000	18696
2019-01-03T08:00:00.000+0000	32434
2019-01-03T09:00:00.000+0000	37064
2019-01-03T10:00:00.000+0000	41491
2019-01-03T11:00:00.000+0000	44021
2019-01-03T12:00:00.000+0000	43060
2019-01-03T13:00:00.000+0000	42048
2019-01-03T14:00:00.000+0000	41795
2019-01-03T15:00:00.000+0000	41112
2019-01-03T16:00:00.000+0000	43642
2019-01-03T17:00:00.000+0000	42503
2019-01-03T18:00:00.000+0000	40176
2019-01-03T19:00:00.000+0000	41466
2019-01-03T20:00:00.000+0000	40808
2019-01-03T21:00:00.000+0000	40454
2019-01-03T22:00:00.000+0000	37494
2019-01-03T23:00:00.000+0000	27576
2019-01-04T00:00:00.000+0000	18519
2019-01-04T01:00:00.000+0000	10600
2019-01-04T02:00:00.000+0000	8045
2019-01-04T03:00:00.000+0000	5869
2019-01-04T04:00:00.000+0000	5135
2019-01-04T05:00:00.000+0000	5667
2019-01-04T06:00:00.000+0000	10221
2019-01-04T07:00:00.000+0000	18570
2019-01-04T08:00:00.000+0000	34154
2019-01-04T09:00:00.000+0000	41289
2019-01-04T10:00:00.000+0000	42959
2019-01-04T11:00:00.000+0000	45691
2019-01-04T12:00:00.000+0000	46121
2019-01-04T13:00:00.000+0000	42731
2019-01-04T14:00:00.000+0000	39923
2019-01-04T15:00:00.000+0000	44350
2019-01-04T16:00:00.000+0000	43869
2019-01-04T17:00:00.000+0000	43515
2019-01-04T18:00:00.000+0000	41871
2019-01-04T19:00:00.000+0000	40656
2019-01-04T20:00:00.000+0000	38860
2019-01-04T21:00:00.000+0000	34154
2019-01-04T22:00:00.000+0000	32054
2019-01-04T23:00:00.000+0000	26412
2019-01-05T00:00:00.000+0000	18266
2019-01-05T01:00:00.000+0000	12396
2019-01-05T02:00:00.000+0000	9259
2019-01-05T03:00:00.000+0000	6577
2019-01-05T04:00:00.000+0000	5565
2019-01-05T05:00:00.000+0000	5844
2019-01-05T06:00:00.000+0000	7362
2019-01-05T07:00:00.000+0000	12725
2019-01-05T08:00:00.000+0000	26311
2019-01-05T09:00:00.000+0000	32029
2019-01-05T10:00:00.000+0000	37190
2019-01-05T11:00:00.000+0000	36457
2019-01-05T12:00:00.000+0000	36204
2019-01-05T13:00:00.000+0000	36052
2019-01-05T14:00:00.000+0000	36305
2019-01-05T15:00:00.000+0000	36532
2019-01-05T16:00:00.000+0000	36785
2019-01-05T17:00:00.000+0000	38202
2019-01-05T18:00:00.000+0000	38228
2019-01-05T19:00:00.000+0000	36861
2019-01-05T20:00:00.000+0000	36659
2019-01-05T21:00:00.000+0000	36735
2019-01-05T22:00:00.000+0000	29651
2019-01-05T23:00:00.000+0000	26564
2019-01-06T00:00:00.000+0000	17760
2019-01-06T01:00:00.000+0000	12574
2019-01-06T02:00:00.000+0000	8045
2019-01-06T03:00:00.000+0000	6628
2019-01-06T04:00:00.000+0000	5237
2019-01-06T05:00:00.000+0000	5338
2019-01-06T06:00:00.000+0000	6375
2019-01-06T07:00:00.000+0000	11283
2019-01-06T08:00:00.000+0000	22491
2019-01-06T09:00:00.000+0000	28765
2019-01-06T10:00:00.000+0000	32712
2019-01-06T11:00:00.000+0000	34736
2019-01-06T12:00:00.000+0000	36077
2019-01-06T13:00:00.000+0000	35951
2019-01-06T14:00:00.000+0000	35242
2019-01-06T15:00:00.000+0000	34129
2019-01-06T16:00:00.000+0000	38354
2019-01-06T17:00:00.000+0000	37038
2019-01-06T18:00:00.000+0000	39897
2019-01-06T19:00:00.000+0000	40530
2019-01-06T20:00:00.000+0000	41137
2019-01-06T21:00:00.000+0000	35900
2019-01-06T22:00:00.000+0000	31093
2019-01-06T23:00:00.000+0000	22365
2019-01-07T00:00:00.000+0000	16697
2019-01-07T01:00:00.000+0000	11486
2019-01-07T02:00:00.000+0000	8273
2019-01-07T03:00:00.000+0000	6653
2019-01-07T04:00:00.000+0000	5818
2019-01-07T05:00:00.000+0000	5818
2019-01-07T06:00:00.000+0000	12396
2019-01-07T07:00:00.000+0000	22972
2019-01-07T08:00:00.000+0000	35014
2019-01-07T09:00:00.000+0000	41314
2019-01-07T10:00:00.000+0000	43540
2019-01-07T11:00:00.000+0000	44451
2019-01-07T12:00:00.000+0000	45640
2019-01-07T13:00:00.000+0000	42579
2019-01-07T14:00:00.000+0000	42149
2019-01-07T15:00:00.000+0000	44552
2019-01-07T16:00:00.000+0000	43971
2019-01-07T17:00:00.000+0000	42756
2019-01-07T18:00:00.000+0000	42478
2019-01-07T19:00:00.000+0000	44527
2019-01-07T20:00:00.000+0000	47791
2019-01-07T21:00:00.000+0000	44426
2019-01-07T22:00:00.000+0000	36760
2019-01-07T23:00:00.000+0000	24692
2019-01-08T00:00:00.000+0000	16520
2019-01-08T01:00:00.000+0000	9866
2019-01-08T02:00:00.000+0000	7185
2019-01-08T03:00:00.000+0000	5996
2019-01-08T04:00:00.000+0000	5945
2019-01-08T05:00:00.000+0000	6830
2019-01-08T06:00:00.000+0000	12042
2019-01-08T07:00:00.000+0000	21884
2019-01-08T08:00:00.000+0000	37722
2019-01-08T09:00:00.000+0000	41845
2019-01-08T10:00:00.000+0000	43212
2019-01-08T11:00:00.000+0000	43363
2019-01-08T12:00:00.000+0000	45489
2019-01-08T13:00:00.000+0000	42680
2019-01-08T14:00:00.000+0000	42933
2019-01-08T15:00:00.000+0000	42098
2019-01-08T16:00:00.000+0000	44173
2019-01-08T17:00:00.000+0000	45236
2019-01-08T18:00:00.000+0000	44603
2019-01-08T19:00:00.000+0000	45944
2019-01-08T20:00:00.000+0000	47639
2019-01-08T21:00:00.000+0000	40555
2019-01-08T22:00:00.000+0000	36583
2019-01-08T23:00:00.000+0000	25906
2019-01-09T00:00:00.000+0000	15534
2019-01-09T01:00:00.000+0000	9765
2019-01-09T02:00:00.000+0000	7210
2019-01-09T03:00:00.000+0000	5591
2019-01-09T04:00:00.000+0000	5110
2019-01-09T05:00:00.000+0000	6426
2019-01-09T06:00:00.000+0000	11359
2019-01-09T07:00:00.000+0000	22213
2019-01-09T08:00:00.000+0000	37747
2019-01-09T09:00:00.000+0000	43844
2019-01-09T10:00:00.000+0000	47513
2019-01-09T11:00:00.000+0000	45160
2019-01-09T12:00:00.000+0000	47993
2019-01-09T13:00:00.000+0000	44097
2019-01-09T14:00:00.000+0000	42528
2019-01-09T15:00:00.000+0000	43692
2019-01-09T16:00:00.000+0000	44730
2019-01-09T17:00:00.000+0000	46172
2019-01-09T18:00:00.000+0000	42959
2019-01-09T19:00:00.000+0000	40530
2019-01-09T20:00:00.000+0000	43869
2019-01-09T21:00:00.000+0000	40985
2019-01-09T22:00:00.000+0000	35267
2019-01-09T23:00:00.000+0000	24945
2019-01-10T00:00:00.000+0000	15938
2019-01-10T01:00:00.000+0000	9613
2019-01-10T02:00:00.000+0000	7261
2019-01-10T03:00:00.000+0000	5565
2019-01-10T04:00:00.000+0000	4933
2019-01-10T05:00:00.000+0000	6400
2019-01-10T06:00:00.000+0000	12346
2019-01-10T07:00:00.000+0000	22972
2019-01-10T08:00:00.000+0000	39138
2019-01-10T09:00:00.000+0000	45008
2019-01-10T10:00:00.000+0000	46020
2019-01-10T11:00:00.000+0000	46273
2019-01-10T12:00:00.000+0000	50017
2019-01-10T13:00:00.000+0000	43819
2019-01-10T14:00:00.000+0000	44805
2019-01-10T15:00:00.000+0000	44502
2019-01-10T16:00:00.000+0000	46399
2019-01-10T17:00:00.000+0000	44831
2019-01-10T18:00:00.000+0000	44375
2019-01-10T19:00:00.000+0000	40479
2019-01-10T20:00:00.000+0000	44097
2019-01-10T21:00:00.000+0000	41314
2019-01-10T22:00:00.000+0000	35293
2019-01-10T23:00:00.000+0000	27298
2019-01-11T00:00:00.000+0000	17962
2019-01-11T01:00:00.000+0000	10575
2019-01-11T02:00:00.000+0000	7868
2019-01-11T03:00:00.000+0000	5515
2019-01-11T04:00:00.000+0000	5869
2019-01-11T05:00:00.000+0000	6704
2019-01-11T06:00:00.000+0000	12700
2019-01-11T07:00:00.000+0000	26033
2019-01-11T08:00:00.000+0000	40251
2019-01-11T09:00:00.000+0000	47310
2019-01-11T10:00:00.000+0000	49764
2019-01-11T11:00:00.000+0000	48145
2019-01-11T12:00:00.000+0000	48626
2019-01-11T13:00:00.000+0000	48145
2019-01-11T14:00:00.000+0000	47690
2019-01-11T15:00:00.000+0000	45236
2019-01-11T16:00:00.000+0000	47563
2019-01-11T17:00:00.000+0000	45489
2019-01-11T18:00:00.000+0000	45134
2019-01-11T19:00:00.000+0000	44704
2019-01-11T20:00:00.000+0000	44072
2019-01-11T21:00:00.000+0000	39189
2019-01-11T22:00:00.000+0000	31877
2019-01-11T23:00:00.000+0000	25704
2019-01-12T00:00:00.000+0000	17102
2019-01-12T01:00:00.000+0000	10195
2019-01-12T02:00:00.000+0000	7261
2019-01-12T03:00:00.000+0000	5464
2019-01-12T04:00:00.000+0000	4984
2019-01-12T05:00:00.000+0000	5591
2019-01-12T06:00:00.000+0000	7589
2019-01-12T07:00:00.000+0000	14446
2019-01-12T08:00:00.000+0000	31447
2019-01-12T09:00:00.000+0000	37393
2019-01-12T10:00:00.000+0000	38126
2019-01-12T11:00:00.000+0000	39720
2019-01-12T12:00:00.000+0000	41592
2019-01-12T13:00:00.000+0000	39164
2019-01-12T14:00:00.000+0000	40378
2019-01-12T15:00:00.000+0000	36811
2019-01-12T16:00:00.000+0000	39568
2019-01-12T17:00:00.000+0000	40024
2019-01-12T18:00:00.000+0000	39062
2019-01-12T19:00:00.000+0000	36077
2019-01-12T20:00:00.000+0000	37797
2019-01-12T21:00:00.000+0000	33674
2019-01-12T22:00:00.000+0000	28538
2019-01-12T23:00:00.000+0000	24490
