date	numberOfDocuments
2019-01-01T00:00:00.000+0000	11448
2019-01-01T01:00:00.000+0000	6099
2019-01-01T02:00:00.000+0000	3560
2019-01-01T03:00:00.000+0000	2099
2019-01-01T04:00:00.000+0000	1580
2019-01-01T05:00:00.000+0000	1365
2019-01-01T06:00:00.000+0000	1772
2019-01-01T07:00:00.000+0000	2522
2019-01-01T08:00:00.000+0000	5181
2019-01-01T09:00:00.000+0000	8925
2019-01-01T10:00:00.000+0000	11064
2019-01-01T11:00:00.000+0000	10937
2019-01-01T12:00:00.000+0000	11488
2019-01-01T13:00:00.000+0000	11112
2019-01-01T14:00:00.000+0000	10617
2019-01-01T15:00:00.000+0000	9987
2019-01-01T16:00:00.000+0000	11080
2019-01-01T17:00:00.000+0000	12597
2019-01-01T18:00:00.000+0000	10817
2019-01-01T19:00:00.000+0000	11040
2019-01-01T20:00:00.000+0000	11687
2019-01-01T21:00:00.000+0000	9595
2019-01-01T22:00:00.000+0000	8933
2019-01-01T23:00:00.000+0000	6274
2019-01-02T00:00:00.000+0000	4063
2019-01-02T01:00:00.000+0000	2977
2019-01-02T02:00:00.000+0000	1876
2019-01-02T03:00:00.000+0000	1365
2019-01-02T04:00:00.000+0000	1125
2019-01-02T05:00:00.000+0000	1261
2019-01-02T06:00:00.000+0000	2059
2019-01-02T07:00:00.000+0000	4310
2019-01-02T08:00:00.000+0000	8318
2019-01-02T09:00:00.000+0000	12358
2019-01-02T10:00:00.000+0000	12869
2019-01-02T11:00:00.000+0000	13316
2019-01-02T12:00:00.000+0000	13196
2019-01-02T13:00:00.000+0000	12390
2019-01-02T14:00:00.000+0000	13060
2019-01-02T15:00:00.000+0000	12525
2019-01-02T16:00:00.000+0000	13451
2019-01-02T17:00:00.000+0000	12326
2019-01-02T18:00:00.000+0000	11982
2019-01-02T19:00:00.000+0000	12541
2019-01-02T20:00:00.000+0000	12597
2019-01-02T21:00:00.000+0000	12669
2019-01-02T22:00:00.000+0000	11519
2019-01-02T23:00:00.000+0000	8286
2019-01-03T00:00:00.000+0000	4861
2019-01-03T01:00:00.000+0000	2738
2019-01-03T02:00:00.000+0000	1963
2019-01-03T03:00:00.000+0000	1421
2019-01-03T04:00:00.000+0000	1173
2019-01-03T05:00:00.000+0000	1341
2019-01-03T06:00:00.000+0000	2458
2019-01-03T07:00:00.000+0000	5093
2019-01-03T08:00:00.000+0000	9180
2019-01-03T09:00:00.000+0000	13132
2019-01-03T10:00:00.000+0000	13579
2019-01-03T11:00:00.000+0000	14122
2019-01-03T12:00:00.000+0000	13699
2019-01-03T13:00:00.000+0000	13100
2019-01-03T14:00:00.000+0000	12909
2019-01-03T15:00:00.000+0000	12733
2019-01-03T16:00:00.000+0000	13563
2019-01-03T17:00:00.000+0000	13348
2019-01-03T18:00:00.000+0000	12781
2019-01-03T19:00:00.000+0000	13435
