date	numberOfDocuments
2019-01-01T00:00:00.000+0000	31366
2019-01-01T01:00:00.000+0000	13191
2019-01-01T02:00:00.000+0000	8794
2019-01-01T03:00:00.000+0000	5818
2019-01-01T04:00:00.000+0000	4586
2019-01-01T05:00:00.000+0000	4624
2019-01-01T06:00:00.000+0000	6197
2019-01-01T07:00:00.000+0000	7922
2019-01-01T08:00:00.000+0000	17701
2019-01-01T09:00:00.000+0000	22421
2019-01-01T10:00:00.000+0000	26192
2019-01-01T11:00:00.000+0000	26855
2019-01-01T12:00:00.000+0000	29092
2019-01-01T13:00:00.000+0000	24922
2019-01-01T14:00:00.000+0000	25870
2019-01-01T15:00:00.000+0000	26893
2019-01-01T16:00:00.000+0000	26666
2019-01-01T17:00:00.000+0000	26552
2019-01-01T18:00:00.000+0000	24903
2019-01-01T19:00:00.000+0000	23141
2019-01-01T20:00:00.000+0000	25169
2019-01-01T21:00:00.000+0000	21302
2019-01-01T22:00:00.000+0000	18857
2019-01-01T23:00:00.000+0000	14081
2019-01-02T00:00:00.000+0000	10442
2019-01-02T01:00:00.000+0000	6728
2019-01-02T02:00:00.000+0000	6121
2019-01-02T03:00:00.000+0000	4378
2019-01-02T04:00:00.000+0000	4757
2019-01-02T05:00:00.000+0000	5249
2019-01-02T06:00:00.000+0000	6576
2019-01-02T07:00:00.000+0000	12508
2019-01-02T08:00:00.000+0000	23975
2019-01-02T09:00:00.000+0000	29774
2019-01-02T10:00:00.000+0000	31518
2019-01-02T11:00:00.000+0000	31082
2019-01-02T12:00:00.000+0000	32674
2019-01-02T13:00:00.000+0000	30153
2019-01-02T14:00:00.000+0000	30836
2019-01-02T15:00:00.000+0000	30798
2019-01-02T16:00:00.000+0000	28978
2019-01-02T17:00:00.000+0000	29623
2019-01-02T18:00:00.000+0000	28466
2019-01-02T19:00:00.000+0000	29092
2019-01-02T20:00:00.000+0000	27595
2019-01-02T21:00:00.000+0000	24145
2019-01-02T22:00:00.000+0000	22004
2019-01-02T23:00:00.000+0000	17038
2019-01-03T00:00:00.000+0000	11769
2019-01-03T01:00:00.000+0000	7979
2019-01-03T02:00:00.000+0000	5591
2019-01-03T03:00:00.000+0000	5306
2019-01-03T04:00:00.000+0000	4321
2019-01-03T05:00:00.000+0000	4757
2019-01-03T06:00:00.000+0000	7827
2019-01-03T07:00:00.000+0000	14593
2019-01-03T08:00:00.000+0000	26457
2019-01-03T09:00:00.000+0000	29717
2019-01-03T10:00:00.000+0000	32693
2019-01-03T11:00:00.000+0000	35100
2019-01-03T12:00:00.000+0000	34247
2019-01-03T13:00:00.000+0000	33015
2019-01-03T14:00:00.000+0000	33678
2019-01-03T15:00:00.000+0000	32503
2019-01-03T16:00:00.000+0000	33034
2019-01-03T17:00:00.000+0000	32011
2019-01-03T18:00:00.000+0000	29054
2019-01-03T19:00:00.000+0000	28466
2019-01-03T20:00:00.000+0000	28637
2019-01-03T21:00:00.000+0000	25036
2019-01-03T22:00:00.000+0000	22496
2019-01-03T23:00:00.000+0000	17891
2019-01-04T00:00:00.000+0000	12887
2019-01-04T01:00:00.000+0000	7581
2019-01-04T02:00:00.000+0000	6083
2019-01-04T03:00:00.000+0000	4965
2019-01-04T04:00:00.000+0000	4131
2019-01-04T05:00:00.000+0000	4624
2019-01-04T06:00:00.000+0000	8452
2019-01-04T07:00:00.000+0000	14688
2019-01-04T08:00:00.000+0000	28049
2019-01-04T09:00:00.000+0000	33148
2019-01-04T10:00:00.000+0000	33659
2019-01-04T11:00:00.000+0000	36768
2019-01-04T12:00:00.000+0000	36749
2019-01-04T13:00:00.000+0000	33906
2019-01-04T14:00:00.000+0000	30987
2019-01-04T15:00:00.000+0000	34152
2019-01-04T16:00:00.000+0000	33830
2019-01-04T17:00:00.000+0000	33186
2019-01-04T18:00:00.000+0000	29698
2019-01-04T19:00:00.000+0000	28675
2019-01-04T20:00:00.000+0000	27879
2019-01-04T21:00:00.000+0000	21928
2019-01-04T22:00:00.000+0000	20639
2019-01-04T23:00:00.000+0000	16716
2019-01-05T00:00:00.000+0000	11845
2019-01-05T01:00:00.000+0000	9116
2019-01-05T02:00:00.000+0000	6728
2019-01-05T03:00:00.000+0000	5211
2019-01-05T04:00:00.000+0000	4283
2019-01-05T05:00:00.000+0000	4795
2019-01-05T06:00:00.000+0000	5989
2019-01-05T07:00:00.000+0000	10082
2019-01-05T08:00:00.000+0000	20620
2019-01-05T09:00:00.000+0000	23615
2019-01-05T10:00:00.000+0000	26495
2019-01-05T11:00:00.000+0000	26780
2019-01-05T12:00:00.000+0000	27234
2019-01-05T13:00:00.000+0000	26382
2019-01-05T14:00:00.000+0000	27462
2019-01-05T15:00:00.000+0000	27689
2019-01-05T16:00:00.000+0000	27917
2019-01-05T17:00:00.000+0000	27253
2019-01-05T18:00:00.000+0000	26457
2019-01-05T19:00:00.000+0000	25282
2019-01-05T20:00:00.000+0000	24884
2019-01-05T21:00:00.000+0000	23842
2019-01-05T22:00:00.000+0000	19388
2019-01-05T23:00:00.000+0000	17417
2019-01-06T00:00:00.000+0000	12148
2019-01-06T01:00:00.000+0000	8414
2019-01-06T02:00:00.000+0000	5951
2019-01-06T03:00:00.000+0000	5306
2019-01-06T04:00:00.000+0000	4150
2019-01-06T05:00:00.000+0000	4510
2019-01-06T06:00:00.000+0000	5117
2019-01-06T07:00:00.000+0000	8661
2019-01-06T08:00:00.000+0000	17910
2019-01-06T09:00:00.000+0000	21719
2019-01-06T10:00:00.000+0000	24846
2019-01-06T11:00:00.000+0000	26154
2019-01-06T12:00:00.000+0000	27405
2019-01-06T13:00:00.000+0000	26628
2019-01-06T14:00:00.000+0000	25775
2019-01-06T15:00:00.000+0000	24998
2019-01-06T16:00:00.000+0000	26950
2019-01-06T17:00:00.000+0000	27178
2019-01-06T18:00:00.000+0000	26533
2019-01-06T19:00:00.000+0000	27614
2019-01-06T20:00:00.000+0000	28485
2019-01-06T21:00:00.000+0000	24828
2019-01-06T22:00:00.000+0000	19881
2019-01-06T23:00:00.000+0000	15105
2019-01-07T00:00:00.000+0000	11769
2019-01-07T01:00:00.000+0000	8206
2019-01-07T02:00:00.000+0000	6216
2019-01-07T03:00:00.000+0000	5325
2019-01-07T04:00:00.000+0000	4529
2019-01-07T05:00:00.000+0000	4870
2019-01-07T06:00:00.000+0000	9684
2019-01-07T07:00:00.000+0000	17701
2019-01-07T08:00:00.000+0000	28087
2019-01-07T09:00:00.000+0000	33413
2019-01-07T10:00:00.000+0000	36730
2019-01-07T11:00:00.000+0000	35308
2019-01-07T12:00:00.000+0000	36995
2019-01-07T13:00:00.000+0000	34759
2019-01-07T14:00:00.000+0000	34778
2019-01-07T15:00:00.000+0000	35422
2019-01-07T16:00:00.000+0000	34702
2019-01-07T17:00:00.000+0000	33186
