date	numberOfDocuments
2019-01-01T00:00:00.000+0000	122287
2019-01-01T01:00:00.000+0000	54247
2019-01-01T02:00:00.000+0000	31506
2019-01-01T03:00:00.000+0000	18695
2019-01-01T04:00:00.000+0000	13791
2019-01-01T05:00:00.000+0000	11952
2019-01-01T06:00:00.000+0000	11462
2019-01-01T07:00:00.000+0000	17592
2019-01-01T08:00:00.000+0000	38249
2019-01-01T09:00:00.000+0000	55044
2019-01-01T10:00:00.000+0000	71901
2019-01-01T11:00:00.000+0000	75395
2019-01-01T12:00:00.000+0000	82076
2019-01-01T13:00:00.000+0000	77847
2019-01-01T14:00:00.000+0000	77540
2019-01-01T15:00:00.000+0000	83547
2019-01-01T16:00:00.000+0000	88390
2019-01-01T17:00:00.000+0000	92619
2019-01-01T18:00:00.000+0000	79992
2019-01-01T19:00:00.000+0000	82873
2019-01-01T20:00:00.000+0000	86980
2019-01-01T21:00:00.000+0000	84467
2019-01-01T22:00:00.000+0000	72820
2019-01-01T23:00:00.000+0000	55106
2019-01-02T00:00:00.000+0000	37942
2019-01-02T01:00:00.000+0000	23292
2019-01-02T02:00:00.000+0000	16366
2019-01-02T03:00:00.000+0000	11769
2019-01-02T04:00:00.000+0000	10910
2019-01-02T05:00:00.000+0000	12504
2019-01-02T06:00:00.000+0000	15692
2019-01-02T07:00:00.000+0000	29851
2019-01-02T08:00:00.000+0000	54063
2019-01-02T09:00:00.000+0000	71165
2019-01-02T10:00:00.000+0000	76989
2019-01-02T11:00:00.000+0000	74046
2019-01-02T12:00:00.000+0000	83486
2019-01-02T13:00:00.000+0000	75272
2019-01-02T14:00:00.000+0000	76560
2019-01-02T15:00:00.000+0000	79686
2019-01-02T16:00:00.000+0000	85264
2019-01-02T17:00:00.000+0000	88267
2019-01-02T18:00:00.000+0000	90474
2019-01-02T19:00:00.000+0000	95929
2019-01-02T20:00:00.000+0000	105553
2019-01-02T21:00:00.000+0000	102366
2019-01-02T22:00:00.000+0000	92558
2019-01-02T23:00:00.000+0000	67733
2019-01-03T00:00:00.000+0000	42969
2019-01-03T01:00:00.000+0000	25254
2019-01-03T02:00:00.000+0000	17040
2019-01-03T03:00:00.000+0000	12688
2019-01-03T04:00:00.000+0000	9378
2019-01-03T05:00:00.000+0000	11523
2019-01-03T06:00:00.000+0000	18450
2019-01-03T07:00:00.000+0000	33774
2019-01-03T08:00:00.000+0000	58109
2019-01-03T09:00:00.000+0000	68284
2019-01-03T10:00:00.000+0000	76621
2019-01-03T11:00:00.000+0000	80850
2019-01-03T12:00:00.000+0000	90045
2019-01-03T13:00:00.000+0000	84528
2019-01-03T14:00:00.000+0000	82260
2019-01-03T15:00:00.000+0000	83302
2019-01-03T16:00:00.000+0000	89309
2019-01-03T17:00:00.000+0000	88819
2019-01-03T18:00:00.000+0000	89800
2019-01-03T19:00:00.000+0000	101569
2019-01-03T20:00:00.000+0000	114625
2019-01-03T21:00:00.000+0000	126884
2019-01-03T22:00:00.000+0000	105185
2019-01-03T23:00:00.000+0000	70675
2019-01-04T00:00:00.000+0000	41681
2019-01-04T01:00:00.000+0000	25070
2019-01-04T02:00:00.000+0000	16305
2019-01-04T03:00:00.000+0000	13607
2019-01-04T04:00:00.000+0000	10788
2019-01-04T05:00:00.000+0000	10604
2019-01-04T06:00:00.000+0000	18450
2019-01-04T07:00:00.000+0000	36287
2019-01-04T08:00:00.000+0000	64055
2019-01-04T09:00:00.000+0000	75027
2019-01-04T10:00:00.000+0000	81463
2019-01-04T11:00:00.000+0000	86306
2019-01-04T12:00:00.000+0000	86796
2019-01-04T13:00:00.000+0000	86735
2019-01-04T14:00:00.000+0000	76437
2019-01-04T15:00:00.000+0000	91148
2019-01-04T16:00:00.000+0000	87409
2019-01-04T17:00:00.000+0000	94152
2019-01-04T18:00:00.000+0000	91148
2019-01-04T19:00:00.000+0000	93784
2019-01-04T20:00:00.000+0000	94887
2019-01-04T21:00:00.000+0000	92252
2019-01-04T22:00:00.000+0000	81034
2019-01-04T23:00:00.000+0000	64423
2019-01-05T00:00:00.000+0000	43275
2019-01-05T01:00:00.000+0000	28380
2019-01-05T02:00:00.000+0000	20657
2019-01-05T03:00:00.000+0000	14098
2019-01-05T04:00:00.000+0000	11462
2019-01-05T05:00:00.000+0000	10175
2019-01-05T06:00:00.000+0000	13301
2019-01-05T07:00:00.000+0000	24151
2019-01-05T08:00:00.000+0000	45666
2019-01-05T09:00:00.000+0000	62890
2019-01-05T10:00:00.000+0000	73249
2019-01-05T11:00:00.000+0000	78092
2019-01-05T12:00:00.000+0000	78276
2019-01-05T13:00:00.000+0000	77540
2019-01-05T14:00:00.000+0000	78337
2019-01-05T15:00:00.000+0000	87777
2019-01-05T16:00:00.000+0000	91700
2019-01-05T17:00:00.000+0000	91639
2019-01-05T18:00:00.000+0000	90780
2019-01-05T19:00:00.000+0000	90597
2019-01-05T20:00:00.000+0000	90658
2019-01-05T21:00:00.000+0000	91332
2019-01-05T22:00:00.000+0000	78337
2019-01-05T23:00:00.000+0000	68775
2019-01-06T00:00:00.000+0000	47443
2019-01-06T01:00:00.000+0000	33590
2019-01-06T02:00:00.000+0000	19860
2019-01-06T03:00:00.000+0000	15201
2019-01-06T04:00:00.000+0000	13117
2019-01-06T05:00:00.000+0000	11523
2019-01-06T06:00:00.000+0000	10910
2019-01-06T07:00:00.000+0000	21086
2019-01-06T08:00:00.000+0000	42294
2019-01-06T09:00:00.000+0000	56025
2019-01-06T10:00:00.000+0000	75395
2019-01-06T11:00:00.000+0000	75824
2019-01-06T12:00:00.000+0000	77602
2019-01-06T13:00:00.000+0000	79747
2019-01-06T14:00:00.000+0000	78031
2019-01-06T15:00:00.000+0000	75824
2019-01-06T16:00:00.000+0000	84160
2019-01-06T17:00:00.000+0000	88145
2019-01-06T18:00:00.000+0000	96665
2019-01-06T19:00:00.000+0000	101507
2019-01-06T20:00:00.000+0000	100343
2019-01-06T21:00:00.000+0000	93907
2019-01-06T22:00:00.000+0000	82812
2019-01-06T23:00:00.000+0000	59151
2019-01-07T00:00:00.000+0000	43949
2019-01-07T01:00:00.000+0000	28441
2019-01-07T02:00:00.000+0000	18756
2019-01-07T03:00:00.000+0000	14220
2019-01-07T04:00:00.000+0000	10543
2019-01-07T05:00:00.000+0000	10052
2019-01-07T06:00:00.000+0000	22128
2019-01-07T07:00:00.000+0000	41252
2019-01-07T08:00:00.000+0000	64852
2019-01-07T09:00:00.000+0000	72453
2019-01-07T10:00:00.000+0000	78889
2019-01-07T11:00:00.000+0000	81157
2019-01-07T12:00:00.000+0000	84651
2019-01-07T13:00:00.000+0000	84528
2019-01-07T14:00:00.000+0000	81279
2019-01-07T15:00:00.000+0000	79931
2019-01-07T16:00:00.000+0000	87961
2019-01-07T17:00:00.000+0000	94336
2019-01-07T18:00:00.000+0000	95991
2019-01-07T19:00:00.000+0000	106534
2019-01-07T20:00:00.000+0000	115606
2019-01-07T21:00:00.000+0000	126333
2019-01-07T22:00:00.000+0000	101140
2019-01-07T23:00:00.000+0000	65342
2019-01-08T00:00:00.000+0000	40762
2019-01-08T01:00:00.000+0000	24273
2019-01-08T02:00:00.000+0000	16611
2019-01-08T03:00:00.000+0000	14159
2019-01-08T04:00:00.000+0000	13607
2019-01-08T05:00:00.000+0000	11217
2019-01-08T06:00:00.000+0000	21515
2019-01-08T07:00:00.000+0000	44011
2019-01-08T08:00:00.000+0000	67549
2019-01-08T09:00:00.000+0000	74904
2019-01-08T10:00:00.000+0000	76743
2019-01-08T11:00:00.000+0000	79011
2019-01-08T12:00:00.000+0000	87164
2019-01-08T13:00:00.000+0000	82934
